datetime,Year,Month,Day,hour,min,sec,height,rain
2024-08-19 09:30:00,2024,8,19,9,40,0,2,0.006666666666666667
2024-08-19 10:00:00,2024,8,19,10,10,0,2,0.0
2024-08-19 10:30:00,2024,8,19,10,40,0,2,0.0
2024-08-19 11:00:00,2024,8,19,11,10,0,2,0.0
2024-08-19 11:30:00,2024,8,19,11,40,0,2,0.0
2024-08-19 12:00:00,2024,8,19,12,10,0,2,0.0
2024-08-19 12:30:00,2024,8,19,12,40,0,2,0.0
2024-08-19 13:00:00,2024,8,19,13,10,0,2,0.0
2024-08-19 13:30:00,2024,8,19,13,40,0,2,0.0
2024-08-19 14:00:00,2024,8,19,14,10,0,2,0.0
2024-08-19 14:30:00,2024,8,19,14,40,0,2,0.0
2024-08-19 15:00:00,2024,8,19,15,10,0,2,0.0
2024-08-19 15:30:00,2024,8,19,15,40,0,2,0.0
2024-08-19 16:00:00,2024,8,19,16,10,0,2,0.0
2024-08-19 16:30:00,2024,8,19,16,40,0,2,0.0
2024-08-19 17:00:00,2024,8,19,17,10,0,2,0.0
2024-08-19 17:30:00,2024,8,19,17,40,0,2,0.0
2024-08-19 18:00:00,2024,8,19,18,10,0,2,0.0
2024-08-19 18:30:00,2024,8,19,18,30,0,2,0.0
2024-08-19 22:00:00,2024,8,19,22,10,0,2,0.0
2024-08-19 22:30:00,2024,8,19,22,40,0,2,0.0
2024-08-19 23:00:00,2024,8,19,23,10,0,2,0.0
2024-08-19 23:30:00,2024,8,19,23,40,0,2,0.0
2024-08-20 00:00:00,2024,8,20,0,10,0,2,0.0
2024-08-20 00:30:00,2024,8,20,0,40,0,2,0.0
2024-08-20 01:00:00,2024,8,20,1,10,0,2,0.0
2024-08-20 01:30:00,2024,8,20,1,40,0,2,0.0
2024-08-20 02:00:00,2024,8,20,2,10,0,2,0.0
2024-08-20 02:30:00,2024,8,20,2,40,0,2,0.0
2024-08-20 03:00:00,2024,8,20,3,10,0,2,0.0
2024-08-20 03:30:00,2024,8,20,3,40,0,2,0.0
2024-08-20 04:00:00,2024,8,20,4,10,0,2,0.0
2024-08-20 04:30:00,2024,8,20,4,40,0,2,0.0
2024-08-20 05:00:00,2024,8,20,5,10,0,2,0.0
2024-08-20 05:30:00,2024,8,20,5,40,0,2,0.0
2024-08-20 06:00:00,2024,8,20,6,10,0,2,0.0
2024-08-20 06:30:00,2024,8,20,6,40,0,2,0.0
2024-08-20 07:00:00,2024,8,20,7,10,0,2,0.0
2024-08-20 07:30:00,2024,8,20,7,40,0,2,0.0
2024-08-20 08:00:00,2024,8,20,8,10,0,2,0.0
2024-08-20 08:30:00,2024,8,20,8,40,0,2,0.0
2024-08-20 09:00:00,2024,8,20,9,10,0,2,0.0
2024-08-20 09:30:00,2024,8,20,9,40,0,2,0.0
2024-08-20 10:00:00,2024,8,20,10,10,0,2,0.0
2024-08-20 10:30:00,2024,8,20,10,35,0,2,0.0
