Year,Month,Day,hour,min,sec,height,relH,relHSD
2024,8,19,9,40,0,2,96.06666666666666,0.15275252316519916
2024,8,19,10,10,0,2,95.53333333333335,0.32145502536643017
2024,8,19,10,40,0,2,95.89999999999999,0.09999999999999787
2024,8,19,11,10,0,2,95.7,0.0
2024,8,19,11,40,0,2,95.36666666666667,0.208166599946604
2024,8,19,12,10,0,2,95.23333333333333,0.472581562625254
2024,8,19,12,40,0,2,95.26666666666667,0.32145502536643106
2024,8,19,13,10,0,2,95.39999999999999,0.10000000000000497
2024,8,19,13,40,0,2,95.06666666666666,0.05773502691895929
2024,8,19,14,10,0,2,94.96666666666665,0.05773502691895929
2024,8,19,14,40,0,2,92.53333333333335,1.2503332889007404
2024,8,19,15,10,0,2,88.89999999999999,2.2605309110914567
2024,8,19,15,40,0,2,91.56666666666666,1.331665623695885
2024,8,19,16,10,0,2,93.36666666666667,0.6806859285554104
2024,8,19,16,40,0,2,94.5,0.3605551275463932
2024,8,19,17,10,0,2,94.93333333333334,0.05773502691895929
2024,8,19,17,40,0,2,95.13333333333333,0.0577350269189675
2024,8,19,18,10,0,2,95.23333333333333,0.11547005383793295
2024,8,19,22,10,0,2,96.13333333333333,0.05773502691896955
2024,8,19,22,40,0,2,96.46666666666665,0.05773502691895929
2024,8,19,23,10,0,2,96.46666666666665,0.05773502691895929
2024,8,19,23,40,0,2,96.46666666666665,0.05773502691895929
2024,8,20,0,10,0,2,96.33333333333333,0.05773502691896237
2024,8,20,0,40,0,2,96.36666666666667,0.057735026918973656
2024,8,20,1,10,0,2,96.40000000000002,0.0
2024,8,20,1,40,0,2,96.40000000000002,0.0
2024,8,20,2,10,0,2,96.3,0.0
2024,8,20,2,40,0,2,96.3,0.0
2024,8,20,3,10,0,2,96.36666666666667,0.057735026918973656
2024,8,20,3,40,0,2,96.5,0.09999999999999432
2024,8,20,4,10,0,2,96.63333333333333,0.05773502691896955
2024,8,20,4,40,0,2,96.73333333333333,0.05773502691895929
2024,8,20,5,10,0,2,96.93333333333334,0.05773502691895929
2024,8,20,5,40,0,2,97.10000000000001,0.1000000000000032
2024,8,20,6,10,0,2,97.3,0.1000000000000032
2024,8,20,6,40,0,2,97.43333333333334,0.05773502691895929
2024,8,20,7,10,0,2,97.5,0.0
2024,8,20,7,40,0,2,97.5,0.0
2024,8,20,8,10,0,2,89.53333333333335,6.000277771348034
2024,8,20,8,40,0,2,79.8,10.283968105745947
2024,8,20,9,10,0,2,72.33333333333333,1.040832999733065
2024,8,20,9,40,0,2,68.36666666666666,3.652852766446156
2024,8,20,10,10,0,2,62.0,2.7838821814150108
2024,8,20,10,35,0,2,58.1,7.0710678118654755
