Year,Month,Day,hour,min,sec,height,temp,tempSD
2024,8,19,9,40,0,2,17.5,0.0
2024,8,19,10,10,0,2,17.400000000000002,0.0999999999999992
2024,8,19,10,40,0,2,17.3,0.0
2024,8,19,11,10,0,2,17.233333333333334,0.05773502691896366
2024,8,19,11,40,0,2,17.0,0.10000000000000142
2024,8,19,12,10,0,2,16.866666666666664,0.15275252316519664
2024,8,19,12,40,0,2,17.0,0.10000000000000142
2024,8,19,13,10,0,2,17.0,0.0
2024,8,19,13,40,0,2,17.066666666666666,0.05773502691896366
2024,8,19,14,10,0,2,17.166666666666668,0.11547005383792475
2024,8,19,14,40,0,2,17.866666666666667,0.2309401076758495
2024,8,19,15,10,0,2,18.366666666666664,0.15275252316519664
2024,8,19,15,40,0,2,18.133333333333333,0.25166114784235816
2024,8,19,16,10,0,2,17.3,0.1999999999999984
2024,8,19,16,40,0,2,16.733333333333334,0.1527525231651916
2024,8,19,17,10,0,2,16.3,0.1999999999999984
2024,8,19,17,40,0,2,15.700000000000001,0.20000000000000107
2024,8,19,18,10,0,2,15.033333333333333,0.20816659994661219
2024,8,19,22,10,0,2,12.0,0.10000000000000009
2024,8,19,22,40,0,2,11.866666666666667,0.05773502691896237
2024,8,19,23,10,0,2,11.5,0.10000000000000009
2024,8,19,23,40,0,2,11.133333333333333,0.15275252316519441
2024,8,20,0,10,0,2,10.666666666666666,0.15275252316519466
2024,8,20,0,40,0,2,10.266666666666667,0.15275252316519572
2024,8,20,1,10,0,2,10.0,0.10000000000000009
2024,8,20,1,40,0,2,9.6,0.0999999999999992
2024,8,20,2,10,0,2,9.166666666666666,0.15275252316519466
2024,8,20,2,40,0,2,8.733333333333333,0.15275252316519597
2024,8,20,3,10,0,2,8.433333333333334,0.05773502691896186
2024,8,20,3,40,0,2,8.366666666666667,0.05773502691896186
2024,8,20,4,10,0,2,8.533333333333333,0.05773502691896237
2024,8,20,4,40,0,2,8.9,0.17320508075688712
2024,8,20,5,10,0,2,9.700000000000001,0.29999999999999893
2024,8,20,5,40,0,2,10.866666666666667,0.5507570547286096
2024,8,20,6,10,0,2,12.533333333333333,0.5033222956847162
2024,8,20,6,40,0,2,13.666666666666666,0.35118845842842444
2024,8,20,7,10,0,2,14.566666666666668,0.30550504633038944
2024,8,20,7,40,0,2,15.266666666666666,0.15275252316519597
2024,8,20,8,10,0,2,16.233333333333334,0.6506407098647717
2024,8,20,8,40,0,2,17.5,0.2645751311064588
2024,8,20,9,10,0,2,18.5,0.5567764362830031
2024,8,20,9,40,0,2,19.533333333333335,0.30550504633039194
2024,8,20,10,10,0,2,20.266666666666666,0.3511884584284243
2024,8,20,10,35,0,2,21.0,0.282842712474618
